Positions	Ratio of complementary nucleotides
0	0.38314897623
1	0.444575194163
2	0.517533537303
3	0.549070369499
4	0.583196046129
5	0.614262179336
6	0.626500353024
7	0.697105201224
8	0.684867027536
9	0.681807484114
10	0.683454930572
11	0.683454930572
12	0.670510708402
13	0.64862320546
14	0.638738526712
15	0.605554248058
16	0.594268119375
17	0.52808988764
18	0.472309299896
19	0.445685562692
20	0.408260999701
21	0.359381044487
22	0.397935779817
23	0.178988326848
24	0.333333333333
25	0.204545454545
26	0.375
27	0
